"work_year";"experience_level";"employment_type";"job_title";"salary_currency";"salary_in_usd";"employee_residence";"remote_ratio";"company_location";"company_size"
2020;"EN";"CT";"Business Data Analyst";"USD";1e+05;"US";100;"US";"L"
2020;"EN";"FT";"AI Scientist";"DKK";45896;"DK";50;"DK";"S"
2020;"EN";"FT";"Big Data Engineer";"USD";70000;"US";100;"US";"L"
2020;"EN";"FT";"Data Analyst";"USD";10000;"NG";100;"NG";"S"
2020;"EN";"FT";"Data Analyst";"EUR";22809;"PT";100;"PT";"M"
2020;"EN";"FT";"Data Analyst";"INR";6072;"IN";0;"IN";"S"
2020;"EN";"FT";"Data Analyst";"USD";72000;"US";100;"US";"L"
2020;"EN";"FT";"Data Analyst";"USD";91000;"US";100;"US";"L"
2020;"EN";"FT";"Data Engineer";"INR";13493;"IN";100;"IN";"L"
2020;"EN";"FT";"Data Engineer";"INR";13493;"IN";100;"IN";"L"
2020;"EN";"FT";"Data Engineer";"JPY";41689;"JP";100;"JP";"S"
2020;"EN";"FT";"Data Engineer";"EUR";54742;"PK";100;"DE";"L"
2020;"EN";"FT";"Data Science Consultant";"INR";5707;"IN";50;"IN";"M"
2020;"EN";"FT";"Data Scientist";"USD";105000;"US";100;"US";"S"
2020;"EN";"FT";"Data Scientist";"EUR";39916;"FR";0;"FR";"M"
2020;"EN";"FT";"Data Scientist";"EUR";49268;"DE";0;"DE";"S"
2020;"EN";"FT";"Data Scientist";"EUR";51321;"FR";0;"FR";"S"
2020;"EN";"FT";"Data Scientist";"EUR";62726;"DE";50;"DE";"S"
2020;"EN";"FT";"Machine Learning Engineer";"USD";138000;"US";100;"US";"S"
2020;"EN";"FT";"Machine Learning Engineer";"USD";250000;"US";50;"US";"L"
2020;"EN";"FT";"Research Scientist";"USD";42000;"NL";50;"NL";"L"
2020;"EN";"PT";"Data Scientist";"EUR";21669;"IT";50;"IT";"S"
2020;"EN";"PT";"ML Engineer";"EUR";15966;"DE";100;"DE";"S"
2020;"EX";"FT";"Data Engineer";"EUR";79833;"ES";50;"ES";"L"
2020;"EX";"FT";"Director of Data Science";"USD";325000;"US";100;"US";"L"
2020;"EX";"FT";"Staff Data Analyst";"USD";15000;"NG";0;"CA";"M"
2020;"MI";"FT";"BI Data Analyst";"USD";98000;"US";0;"US";"M"
2020;"MI";"FT";"Business Data Analyst";"USD";135000;"US";100;"US";"L"
2020;"MI";"FT";"Business Data Analyst";"USD";95000;"US";0;"US";"M"
2020;"MI";"FT";"Data Analyst";"EUR";46759;"FR";50;"FR";"L"
2020;"MI";"FT";"Data Analyst";"USD";8000;"PK";50;"PK";"L"
2020;"MI";"FT";"Data Analyst";"USD";85000;"US";100;"US";"L"
2020;"MI";"FT";"Data Engineer";"USD";106000;"US";100;"US";"L"
2020;"MI";"FT";"Data Engineer";"USD";110000;"US";100;"US";"L"
2020;"MI";"FT";"Data Engineer";"USD";130800;"ES";100;"US";"M"
2020;"MI";"FT";"Data Engineer";"EUR";59303;"DE";100;"DE";"S"
2020;"MI";"FT";"Data Engineer";"EUR";70139;"FR";50;"FR";"L"
2020;"MI";"FT";"Data Engineer";"EUR";74130;"AT";50;"AT";"L"
2020;"MI";"FT";"Data Engineer";"GBP";112872;"GB";50;"GB";"L"
2020;"MI";"FT";"Data Science Consultant";"USD";103000;"US";100;"US";"L"
2020;"MI";"FT";"Data Scientist";"USD";105000;"US";100;"US";"L"
2020;"MI";"FT";"Data Scientist";"HUF";35735;"HU";50;"HU";"L"
